",""mytree$tip.label"""
"1,""NC_008092.1-MODERN--SPAIN"""
"2,""ENA|LR742738-ALASKA-Kotzebue_Sound"""
"3,""ENA|LR742757-ALASKA-Anaktuvuk_Pass"""
"4,""ENA|LR742755-NORTH_ALASKA"""
"5,""ENA|LR742754-NORTH_ALASKA"""
"6,""ENA|LR742759-ALASKA-Anaktuvuk_Pass"""
"7,""ENA|LR742789-RUSSIA-Chukotka"""
"8,""ENA|LR742758-ALASKA-Anaktuvuk_Pass"""
"9,""C90-SWEDEN-Gotland"""
"10,""1902-ROMANIA-Schela_Cladovei_-_Canis_sp."""
"11,""1657_MT-ROMANIA-Cheia"""
"12,""1862-ROMANIA-Techirghiol_Paloda"""
"13,""767-ROMANIA-Isaccea"""
"14,""1859-ROMANIA-Techirghiol_Paloda"""
"15,""AL2397-ITALY-Belverde_di_Cetona"""
"16,""BEL-2094-FRANCE-Bellevue"""
"17,""BEL-1941-FRANCE-Bellevue"""
18,NA
19,NA
20,NA
"21,""4800BP-IRELAND-Newgrange"""
22,NA
23,NA
"24,""1812_MT-ROMANIA-Icoana"""
"25,""OL4029-SPAIN-Marizulo_Cave"""
26,NA
27,NA
"28,""1680_MT-ROMANIA-Icoana"""
"29,""KU291059-MODERN-SouthAfrica"""
"30,""KU290535-MODERN-TANZANIA"""
"31,""DQ480493-MODERN-SWEDEN"""
"32,""KU290898-MODERN-SouthAfrica"""
"33,""KU290902-MODERNSouthAfrica"""
"34,""KU290906-MODERN-SouthAfrica"""
"35,""EU408267-MODERN-Coker_Spaniel"""
"36,""EU408279-MODERN-Havanese"""
"37,""KU291060-MODERN-SouthAfrica"""
"38,""C94-SWEDEN-Gotland"""
"39,""KU290569-MODERN-PARAGUAY"""
"40,""KU290910-MODERN-SouthAfrica"""
"41,""KU290894-MODERN-SOUTHAFRICA"""
"42,""KU290587-MODERN-SURINAME"""
"43,""DQ480489-MODERN-SWEDEN"""
"44,""EU408293-MODERN-PitBull_Terrier"""
"45,""1709-SPAIN-Can_Roqueta"""
"46,""C89-SWEDEN-Gotland"""
"47,""KX379529-GERMANY-Herxheim"""
"48,""KX379528-GERMANY-Cherry_Tree_Cave"""
"49,""1707-SPAIN-Can_Roqueta"""
"50,""1908-IRAN-Tepe_Hasanlu"""
"51,""1051_MT-SWITZERLAND-Twann"""
52,NA
"53,""1052_MT-SWITZERLAND-Twann"""
"54,""1044_MT-SWITZERLAND-Twann"""
"55,""BEL-2184-FRANCE-Bellevue"""
"56,""BEL-2135-FRANCE-Bellevue"""
57,NA
"58,""1791_MT-ROMANIA-Vitanesti"""
"59,""1836_MT-ROMANIA-Vitanesti"""
"60,""1827_MT-ROMANIA-Vitanesti"""
"61,""1839_MT-ROMANIA-Vitanesti"""
"62,""1831_MT-ROMANIA-Vitanesti"""
63,NA
"64,""1811_MT-ROMANIA-Icoana"""
"65,""1901-ROMANIA-Schela_Cladovei_-_Canis_sp."""
"66,""C27-RUSSIA-Shamanka"""
"67,""1815_MT-ROMANIA-Icoana"""
"68,""1915-IRAN-Tepe_Sang_e_Chakmaq_E"""
"69,""1905-FRANCE-TaÃ¯"""
"70,""SOTN01-CROATIA-Sotin"""
"71,""1714-SPAIN-Can_Roqueta"""
"72,""1810_MT-ROMANIA-HÃ¢rsova_tell"""
"73,""1912-IRAN-Tepe_Sang_e_Chakhmaq_E"""
"74,""1690_MT-ROMANIA-HÃ¢rsova_tell"""
"75,""736-IRAN-Tepe_Sang_e_Chakhmaq_E"""
"76,""1822_MT-ROMANIA-Bordusani"""
"77,""773_MT-ROMANIA-Popina-Bordusani"""
"78,""1636-IRAN-Tepe_Hasanlu"""
"79,""1659_MT-ROMANIA-HÃ¢rsova_tell"""
"80,""772b_MT-ROMANIA-Bordusani"""
"81,""1820_MT-ROMANIA-Bordusani"""
"82,""1817_MT-ROMANIA-Bordusani"""
"83,""1819_MT-ROMANIA-Bordusani"""
"84,""1803_MT-ROMANIA-HÃ¢rsova_tell"""
"85,""1697-ROMANIA_-_VÄƒrÄƒÈ™ti"""
"86,""1855-ROMANIA-VÄƒrÄƒÈ™ti"""
"87,""1911-IRAN-Tepe_Sang_e_Chakhmaq_E"""
"88,""1874-ROMANIA-Cheia"""
"89,""1904-FRANCE-Camprafaud-_Wolf"""
"90,""1838_MT-ROMANIA-Vitanesti"""
"91,""1579_MT-ROMANIA-Popina-Bordusani"""
"92,""1575-ROMANIA-Isaccea"""
"93,""1806_MT-ROMANIA-HÃ¢rsova_tell"""
"94,""1798_MT-ROMANIA-Popina-Bordusani"""
"95,""1075-TURKEMENISTAN-Ulug_Depe"""
"96,""1858-ROMANIA-Techirghiol_Paloda"""
"97,""1661_MT-ROMANIA-HÃ¢rsova_tell"""
"98,""766-ROMANIA-Isaccea"""
"99,""1808_MT-ROMANIA-HÃ¢rsova_tell"""
"100,""1804_MT-ROMANIA-HÃ¢rsova_tell"""
"101,""1873-ROMANIA-Cheia"""
"102,""1581_MT-ROMANIA-Popina-Bordusani"""
"103,""740-IRAN-Tepe_Sang_e_Chakhmaq_E"""
"104,""OL4222-GRECE-Skoteini_Cave"""
"105,""1693_MT-ROMANIA-Cheia"""
"106,""1696_MT-ROMANIA-VÄƒrÄƒÈ™ti"""
"107,""1696_-_ROMANIA_-_VÄƒrÄƒÈ™ti"""
"108,""1809_MT-ROMANIA-HÃ¢rsova_tell"""
"109,""1662_MT-ROMANIA-HÃ¢rsova_tell"""
"110,""1665_MT-ROMANIA-HÃ¢rsova_tell"""
"111,""1834_MT-ROMANIA-Vitanesti"""
"112,""1571-ROMANIA-Isaccea"""
"113,""1574-ROMANIA-Isaccea"""
"114,""1660_MT-ROMANIA-HÃ¢rsova_tell"""
"115,""1664_MT-ROMANIA-HÃ¢rsova_tell"""
"116,""772a_MT-ROMANIA-Bordusani"""
"117,""1837_MT-ROMANIA-Vitanesti"""
"118,""1588_MT-ROMANIA-Popina-Bordusani"""
"119,""1801_MT-ROMANIA-HÃ¢rsova_tell"""
"120,""1695_-_ROMANIA_-_VÄƒrÄƒÈ™ti"""
"121,""1796_MT-ROMANIA-Popina-Bordusani"""
"122,""1828_MT-ROMANIA-Vitanesti"""
"123,""1914-IRAN-Tepe_Sang_e_Chakmaq_E"""
124,NA
"125,""989_MT-ROMANIA-Popina-Bordusani"""
"126,""1846_MT-ROMANIA-Pestera_Climente-Wolf"""
"127,""738-IRAN-Tepe_Sang_e_Chakhmaq_E"""
"128,""1572-ROMANIA-Isaccea"""
"129,""TGEZ06-ISRAEL-Tel_Gezer"""
"130,""EU789654-MODERN-TURKEY"""
"131,""EU789654-MODERN-SPAIN"""
"132,""770_MT-ROMANIA-HÃ¢rsova_tell"""
